First Name,Last Name
Álvaro,Ndayishimiye
Paulo,Maripán
Álex,Baldanzi
Pascal,Güler
Alexander,Belotti
Jonas,Bueno
Lars,Martínez
Neymar,Coco
Victor,Vieira
John,Çalhanoğlu
Samuel,Djaló
Shon,Wieffer
Sofiane,Fati
Fábio,Tavernier
Thiago,Fernandes
Ai,Davide Faraoni
Antoine,Neves
Arthur,Caputo
Lisandro,Fulgini
Karl,Dourado
Serhou,Dembélé
Nadiem,Marin
Christian,Söyüncü
Marco,Elliott
Leonardo,Salisu
Joshua,Gomes
Saïd,Mechele
Arkadiusz,Ekitike
Robin,Diakhaby
Péter,Tete
Diogo,Pavard
Jonathan,Coíntra
Pierre-Emile,Zieliński
Giovanni,Patrício
Lucas,Grifo
Josué,Ochoa
Łukasz,Provedel
Darwin,Goretzka
Saúl,Rensch
Maximilian,Höfler
Gerónimo,Cömert
Frank,Turner
Nicolás,Robertson
Anton,Duarte
Carlos,Navas
Rodrigo,Moukoko
Joey,Haaland
Tommaso,Nørgaard
Milos,O'Riley
Giorgio,Laurienté
Sikou,Udogie
Rafał,Wöber
Lucas,Inálcio
Lionel,García
Amadou,Sánchez
Milton,Mkhitaryan
Konstantinos,Masuaku
Michael,Mbappé
Mattia,Munetsi
Luis,Ivanušec
Kylian,Montipò
Branco,Dibusz
Dominik,María Giménez
Gabriel,Milner
Kyle,Carrasco
Sergi,Trossard
Bruno,Berardi
Érick,Valoyes
Nahuel,Militão
Kevin,Forster
Danny,Edwards
Federico,Llorente
Giovanni,Kvaratskhelia
Samuele,Svanberg
Conor,Raum
Leander,Kamiński
Paul,García
Sven,Laïdouni
Moussa,Elmas
Elseid,Karlsson
Lukáš,Zambo Anguissa
Achraf,Reyes
Ludovic,Guillamón
Nathan,Chust
Marius,Lamptey
Manuel,Kossounou
Stephen,Mitoma
Alexis,Vardy
Cristhian,van Ewijk
Gonzalo,Mandragora
Karim,Adli
Patson,Akanji
Luiz,Messias
Cristian,Mina
Seko,Nelsson
Martin,Çelik
Dominik,Aktürkoğlu
Akram,Rossi
Presnel,Kimmich
Memphis,Horta
Adrià,Santeiro
Ezequiel,Gray
Simon,Pires
Warmed,Bentancur
Thilo,Alderweireld
Jamal,García
Kai,Sanson
Nordin,Havertz
Jesus,Kostić
Samuel,Butez
Rick,Tomiyasu
Hakan,Vidal
Jordan,Bisesi
Thomas,Diouf
Gastón,Sottil
Esequiel,Szalai
Lucas,Azmoun
Hans,Remiro
Ruben,Lang
Luis,Kesen
Armand,Kuchta
Cheick,Zampedri
Danilho,Ndombele
Adnan,Abraham
Augusto,Gradit
Marvin,Depay
Sébastien,Gueye
Gabriel,Aboukhlal
Lorenzo,Barco
Robin,Kondogbia
Ruslan,Chilwell
Bruno,Lejeune
Manuel,Veltman
Malcom,Lukaku
João,Zapata
Toni,Eriksen
Óscar,Bizot
Amine,Pogba
Adam,Hrádecký
Maikel,Hofmann
Theo,Calvert-Lewin
Marco,Meslier
Attila,Adeyemi
Omar,Halstenberg
Fayçal,Thiaw
Davinson,Lino
Niklas,Kohr
Toby,Sommer
Nicolas,Ogbu
Andrés,Santos
Magomed,Koundé
Andrija,Carter-Vickers
Conor,Navarro
Adam,Leão
Fikayo,En-Nesyri
Lorenzo,Sánchez
Pepe,Strefezza
Jasper,Hübers
Paulo,Montes
Javi,Podence
Kevin,Silva
Lukáš,Kovačić
Merih,Beyer
Yerry,Kent
Gijs,Barella
Marcos,Velasco
Abel,Martins
Javier,Kubo
Joakim,Cullen
James,Openda
Andrea,Victor
Kevin,Lazović
David,Lees-Melou
Alan,Mamardashvili
Maximilian,Trigueros
Ousmane,Bardeira
Serge,Khedira
Johan,Morita
Pedro,Barák
Nicolas,Aguilar
Emiliano,Blind
Eric,Camello
Sverrir,Casteels
Gonçalo,Trejo
Diego,Marí
Helton,Klaassen
Leandro,Krejčí
Konstantinos,Molina
Ashley,Stepanenko
Danilo,de Ligt
Alex,Scalvini
James,Frimpong
Jonas,Cabral
Fran,Emmanuel Orban
Gregor,Jota
Simão,Rakitić
Emre,Zentner
Yunis,Ünal
Fernando,Dorsch
Riccardo,Coady
Kevin,Flips
Enes,Petagna
Tony,Boufal
Paulo,Mário
Kyle,Christensen
Marvin,Alberto
Fabiano,Saïss
Gabriel,Reyna
Matthijs,Matusiwa
Jawad,Hitz
Alex,Dimarco
Christian,Ruiz
Boubacar,Sanches
Eray,de Vrij
André,Leno
Tiago,Olivera
Santi,Esteiro
Luka,Baena
Dorlan,Pérez
Taiwo,Beltrán
Suat,Seijalbo
Rolando,Nmecha
Pervis,Armão
Sergio,Grbić
Birger,Verratti
Mats,Senesi
Justin,Pérez
Rasmus,Diakité
Ronaldo,De Arruabarrena
Mattias,Ilić
Luka,Jakić
Guillermo,Cresswell
Nemanja,Ljubičić
Willian,Ruiz
Marshall,Veerman
Idrissa,Dalot
Héniton,Smal
Gaetano,Jović
Domenico,Balerdi
Sebastiaan,Lukić
Vincent,Cornet
Vitaliy,Mount
Israel,Doku
Aurélien,Dybala
Stefan,Ducksch
Milan,Meling
Rayan,Orsolini
Philipp,Honorat
Nikola,Andrich
Dayot,Le Fée
Gaëtan,Hien
Ludwig,Kamada
Josh,Wirtz
Abdou,Boupendza
Fraser,Nwakaeme
Davide,Pineda
Pierluigi,Capoue
Bafodé,Dina Ebimbe
Kodjo,Ángel Merentiel
Anthony,Diomande
Andre,Conan Ledesma
Yassine,Tenaglia
Arthur,Hazard
Rúben,Foyth
Lee,Gigot
Dakonam,Kluivert
Marwin,Keïta
Mason,Chevalier
Jakub,Lindstrøm
Alessandro,Paiva
Abdoulaye,Cillessen
Virgil,Dahoud
David,Espino
Emile,Mancini
James,Mitchell
Andrea,Vicario
Joaquín,Henrichs
Martín,Janssen
Arnaud,Mir
Franco,Awoniyi
Stefano,Zorgane
Enzo,Alba
Marcos,Osimhen
Keylor,Lemina
Jack,Leite
Trevoh,Konan
Federico,Agbadou
Unai,Barcola
Iván,Buongiorno
Alexis,De Bruyne
Vincenzo,Tah
Adilson,Lobotka
Paulo,Djené
Fran,Williams
Sam,Malen
Bart,Mário
Diogo,Haidara
Yukinari,Ferreira
Ferdi,Nielsen
Ivan,Pavlović
Mykola,Barreiro Martins
Daniel-Kofi,Torró
Jeremie,Maxim Choupo-Moting
Sergiño,Okafor
Alex,Schwäbe
Dani,Pérez
Mehdi,Rulli
João,Henry
João,Ikoné
Azzedine,Shaw
Andeson,Targett
Ruiz,Tait
Marcel,Gyökeres
Lucas,Mendy
Caio,Chiesa
Thijs,Vázquez
Jonathan,Guardado
Alphonso,Ozdoev
Oumar,Díaz
Gustavo,Martínez
Andreas,Čvančara
Dodi,Sandro
Cristian,Marchesín
Salem,Mantela
Rodrigo,Gakpo
Takefusa,St. Juste
Hugo,Koita
Mauro,Herrera
Walker,Benrahma
Daley,Sudakov
Janis,Ćaleta-Car
Wilfried,Almirón
Brandon,Rui
Demarai,Bakambu
Vanja,Javier Suárez
Rade,Dmitrović
Pedro,Harrison
Charles,Brobbey
Vítor,Torreira
Kevin,Milinković-Savić
Bukayo,Aït-Nouri
Iñigo,Correa
Bradley,Balliu
Santiago,Driussi
Arnau,Núñez
Fábio,Mata
Fabián,Romero
Domingos,Král
Youssouf,Shaparenko
Lucas,Kouamé
Aitor,Sallai
Christian,Alvarado
Bernardo,Catarino
Riyad,Meunier
Deniz,Oliveira
Orbelín,Kimpembe
Duván,Koch
Reece,Kroos
Gabriel,Dia
Michael,Torres
Johan,Posch
Musa,Onana
Yaroslav,Skov Olsen
Joachim,Lemar
Youri,Januzaj
Craig,Hermoso
Sean,Černý
Rubén,Saponara
Sidney,Simón
Lucas,Bakayoko
Nicolás,Correia
Edin,Fernandes
Raúl,Bernardeschi
David,Brandt
Daichi,Griezmann
Carlos,Núñez
Brian,Rebić
Saša,García
Kingsley,Livaja
Guido,Laporte
Vangelis,Niakaté
Castello,Diallo
Daniel,Gnabry
Cristian,Min Son
Rui,Lingr
Rico,Cuypers
Mouctar,Courtois
Timo,García
Víctor,Haller
Welington,Talisca
Stefan,Smalling
Dejan,Filhei
Issa,Di María
Rubén,Maximiano
Jan,Blaswich
Bryan,Demiral
Albertinho,Jabim
Jordan,Garnacho
Jonas,Gazdag
Alexis,Lukeba
Jeremías,Holeš
Loïs,Lecomte
Mathew,Paulo
Pere,Rüdiger
Mateo,Romagnoli
Harvey,Cabrais
Ozan,Berisha
Luis,Yannick Kessié
Raúl,Berghuis
Facundo,Bornauw
Nicolò,Sarabia
Igoh,Calabria
Diego,Cachoira
Anthony,Badiashile
Federico,Skhiri
Enzo,Max
Patrik,Rashford
Abdülkerim,Royal
Oleksandr,Banza
Benjamin,Meret
Arda,Hickey
César,Ramírez
Daniel,Taylor
Eduardo,Ferri
Maxime,Schmeichel
Yannick,Gómez
Kenneth,Pessina
Hicham,Webster
Davy,Skipp
Karim,Jones
Jeremiah,Bellerín
Thibaut,Nakamura
Ciro,Undav
Anthony,Rodríguez
Dominic,Kean
Brennan,Kalajdžić
Alexandru,Vlašić
Nicolas,Firmino
Moussa,Solomon
Koen,Truffert
Guglielmo,Brozović
Tariq,Partey
Enzo,Bourigeaud
Anderson,Wagner
Marco,Werner
Rafael,Spierings
Evan,Saelemaekers
Craig,Javier De Paul
Pedro,Benzema
Josip,García
Omar,Kainz
Franck,Lopes
Julián,Giménez
Romain,Martínez Quarta
Serge,Ingi Ingason
Soufiane,Seiwald
Moisés,Faria
Mergim,Özcan
Ángel,Sosa
Heung,Ryerson
Darko,Olise
Ismaël,Dias
Yehvann,Guéhi
Wout,Batshuayi
Thomas,Szoboszlai
Junior,Caqueret
Wilfried,Schlotterbeck
Gerson,Boscagli
Isi,Figal
Bernd,Jaime
Jack,Milik
Manor,Sinisterra
Eric,Doig
Jordan,Collins
Eric,Messi
Gianluca,Solet
Sérgio,Bijol
Enzo,Radonjić
Sebastian,Neto
Ante,Trimmel
Diogo,Cristante
Luis,Santamaria
Willy,De Cordova-Reid
Mauro,Adams
Kai,Costa
Mike,Araujo
Yannick,Gikiewicz
Aïssa,Serdar
Riccardo,Draxler
Jadon,Masip
Cédric,Anderson
Wout,Doucouré
Ko,De Ketelaere
Cody,Saka
Randal,Ounahi
Paulo,Abergel
Rafael,Koulibaly
Daniel,Laporte
Remo,Gastien
Héctor,Plea
Dominik,Gil
Josip,Ševčík
Federico,Hee Chan
Exequiel,Diop
Boulaye,Faivre
Jadsinho,Loiodice
Wojciech,Hezze
N'Golo,Ings
Ahmed,Bijlow
Mats,González Pirez
Alban,Stindl
Umar,Tomori
Denzel,Højlund
Luke,Bastoni
Benjamin,Theate
Marc-André,Busquets
Yann,Sugawara
Mohamed,Estupiñán
Saša,Henrique
Miroslav,Ogbonna
Ryan,Caci
Matthias,Cardoso
Christoph,Zonta
Kim,Botman
Aïssa,Borini
Riccardo,Suzuki
André,Coufal
Georgiy,Gameiro
Marko,Felipe
Grischa,Svensson
Jindřich,Romo
Stijn,Freuler
Callum,Lacazette
Tyrick,Albiol
Javi,Samba
Zakaria,Curbelo
Kristijan,Mavropanos
Alberto,Goodwin
Diego,Varane
Germán,Gollini
Fabio,Rakitskyi
Tomáš,Eustáquio
Murildo,Kane
Jean-Pierre,Vandevoordt
Florian,Rojo
Timo,Valles
Vini,Barrow
Houssem,Ruidíaz
Raúl,Johnstone
Emerson,Walker
Alexey,Justin
Patrik,Mandi
André,Tsimikas
Pablo,Romero
Francesco,Jiménez
Kelechi,Holding
Óscar,Rits
Ansgar,Sornoza
Michael,Vuarte
Trent,Süle
Nahuel,Claesson
Rúben,Dúbravka
Djibril,Doucouré
Wagner,Domínguez
Mateo,Wolf
Fran,Medina
De,Højbjerg
Ivo,Matić
Aaron,Mbeumo
Rachid,Tchouaméni
Henrikh,Zaha
Jiří,Flekken
Dávid,Arnold
Benjamin,Gulácsi
Loïc,Kalimuendo
Matt,Mazraoui
Anthony,Fekir
Chuba,Mæhle
Wataru,Locatelli
João,Traoré
Youssouf,Foden
Juan,Ryan
Phil,Reijnders
Luis,Reina
Yoane,Semedo
Alphonse,Mahrez
Adrien,Jr
Ricardo,Trapp
Renato,Škriniar
Adam,Iheanacho
Sebastián,Oliván
Dénes,Kalvach
Alessio,Alaba
Bryan,Ojeda
Nicolò,Antonio
Berat,Lukébakio
Stefan,Edrada
Pape,Moreno
Morten,Rodríguez
Jan,Jae Sung
Rui,Widmer
Jordy,Laimer
Angel,Chissano
Ángel,Nsame
Owen,Hernández
Lúcio,Parisi
Bobby,Riemann
Andrew,Kumbulla
Laurent,Juranović
Sadio,Gvardiol
Ferland,Stach
Rasmus,Aurier
Mikkel,Pessinho
Danny,Onisiwo
Petr,Musiala
Mikel,Ünder
Nuno,Schick
Marcos,Castagne
Lorenzo,Kabak
Matteo,Mykolenko
Mário,Paintsil
Dániel,Krunić
Steven,Kramer
Rodrigo,Szczęsny
Rodrigo,Merino
Ghislain,Upamecano
Steven,Kang In
Amadou,Hegazi
Bryan,Maddison
Salih,Júnior
Dwight,Babić
Maxime,Zaniolo
Diogo,Miranchuk
Federico,Gomes
Marko,Hernández
Mykhailo,Júnior
Donny,Al Dawsari
Pierre,Valentín
Guillermo,Dest
Illan,Almeida
Thierry,Carlos
Stephan,Mac Allister
Kouadio,Machado
Sheraldo,Hancko
M'Bala,Gerhardt
Matt,Milla
Ismaïla,Bamba
Ben,Aníbão
Alejandro,Koopmeiners
Éder,Zerrouki
Václav,Donnarumma
Emmanuel,Zaccagni
Tomáš,Janelt
Matteo,de Jong
James,Sabrão
Jacob,Diaby
Ladislav,Guerreiro
Gift,Crespo
Simon,Lenglet
Jesper,Montero
Leandro,Caprari
Flavien,Drągowski
Rosival,Olmo
Malick,Neres
Adrien,Zuber
Sergej,Martínez
Miguel,Fofana
Nemanja,Hernández
Salis,Dano
Sardar,Tormena
Milot,van Aanholt
Pau,Silva
Bryan,Llorente
Florian,Maignan
Junior,Kilman
Leon,Barnes
Bartłomiej,Rico
Mattia,Sarr
Martin,Endo
Kieran,Blas
Angelo,Rashica
Mathías,Sow
Jamie,Daka
Ousmane,Dallinga
Nico,Cunha
Morgan,Kökçü
Altay,Roussillon
Raphaël,Asensio
Franco,Escalante
Callum,Zalewski
Junior,Sportiello
Rodrigo,Mojica
Hirving,Clasie
Benjamín,Lovren
David,Torres
Fabian,Aké
Morgan,Maffeo
Yvon,Aouar
Niklas,White
Aaron,Darder
Jules,Santos
Nathan,Silva
Jesper,Rosier
Lucas,Stevanović
Casper,Gonçalves
Yangel,Willock
Marco,Rabiot
Nicolás,Ward-Prowse
Alassane,Ndicka
Moussa,Rice
Federico,Pezzella
Brice,Davies
Orel,Becão
Aníbal,Aníbal
Hugo,Gusto
Lucas,Boly
Lee,Pavlidis
Jordan,Vítor
James,De la Cruz
Tosin,Díaz
Heberto,Bushchan
Santiago,Pérez
Wissam,Peres
Kasper,Paredes
Unai,Johnson
Édouard,Gaćinović
Antonín,Lacroix
Viktor,Guimarães
Oliver,Lozano
Kiernan,Correa
Alessandro,Rajković
Julien,Lewandowski
